tweet_id,airline_sentiment,reason,airline,name,retweet_count,text,tweet_created
5.70301E+17,negative,Bad Flight,Virgin America,jnardino,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",24/02/15 11:15
5.70277E+17,negative,Bad Flight,Virgin America,heatherovieda,0,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,24/02/15 9:39
5.70208E+17,negative,Bad Flight,Virgin America,blackjackpro911,0,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,24/02/15 5:05
5.69562E+17,negative,Bad Flight,Virgin America,Gr8Fratsby,0,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,22/02/15 10:19
5.69248E+17,negative,Bad Flight,Virgin America,wmrrock,0,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback,21/02/15 13:30
5.69083E+17,negative,Bad Flight,Virgin America,eatgregeat,0,"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews",21/02/15 2:36
5.68946E+17,negative,Bad Flight,Virgin America,HenryLucero,0,@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒,20/02/15 17:31
5.68942E+17,negative,Bad Flight,Virgin America,stephanieslome,0,@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,20/02/15 17:16
5.68902E+17,negative,Bad Flight,Virgin America,MsReeseGirl,0,"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED",20/02/15 14:35
5.68851E+17,negative,Bad Flight,Virgin America,AdamSinger,0,@VirginAmerica soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-),20/02/15 11:13
5.68519E+17,negative,Bad Flight,Virgin America,BlackFlagShoppe,0,"@virginamerica not really the experience I was hoping 4, I ws forced 2 check in a small carry on, w/ nothing but empty cabin space on board",19/02/15 13:14
5.68464E+17,negative,Bad Flight,Virgin America,wmrrock,0,@VirginAmerica on VX399 from JFK to LA - dirty plane - not up to your standards.,19/02/15 9:35
5.68463E+17,negative,Bad Flight,Virgin America,wmrrock,0,@VirginAmerica on flight VX399 headed to LA from JFK - dirtiest VA plane I have ever been on. Sad for a great airline.,19/02/15 9:32
5.68219E+17,negative,Bad Flight,Virgin America,contimike,0,@VirginAmerica I cannot even open my laptop in seat 4C and I paid a premium for this?!!   Let me out of here!,18/02/15 17:22
5.68216E+17,negative,Bad Flight,Virgin America,contimike,0,@VirginAmerica I am in seat 4C and I cannot even open my laptop; and I paid extra for this seat!!,18/02/15 17:11
5.68083E+17,negative,Bad Flight,Virgin America,iamWalkerR,0,@VirginAmerica kinda sucked my earphone jack didn't work on my flight. They may want to look into that for future passengers,18/02/15 8:22
5.68079E+17,negative,Bad Flight,Virgin America,MarcoFlavioM,0,@VirginAmerica Very poor experience. First computer problem now seat malfunction. Stuck. Missing meeting in San Diego.,18/02/15 8:07
5.67972E+17,negative,Bad Flight,Virgin America,total_janarchy,0,@VirginAmerica Thanks for making my flight from LAX to JFK a nightmare by forcing me to check my carry on bag at the gate. (1),18/02/15 0:59
5.67749E+17,negative,Bad Flight,Virgin America,tan_talize,0,"@VirginAmerica mood lighting on point🙌 Reclining my seat, kickin up my feet💤",17/02/15 10:14
5.70302E+17,negative,Bad Flight,United,slandail,0,"@united Gate agent hooked me up with alternate flights. If you have a way to PREVENT the constant issues, that would rock.",24/02/15 11:19
5.70253E+17,negative,Bad Flight,United,PFlandersdc,0,@united #worst2unitedflightsever UA 236 LAS to IAD 2/24 mechanical problems again - took off - had to land for fix - delayed again #wtfodds!,24/02/15 8:04
